direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
long,london,2025-06-05T08:20:00+00:00,3373.38,3373.38,3369.73,2.03,3370.335,3379.47,2025-06-05T09:15:00+00:00,3379.47,tp,11,60.9,56.7,False,down,False,0.0,compression,0.055,narrow,False
short,ny,2025-06-05T14:45:00+00:00,3369.49,3383.21,3369.49,6.64,3379.45,3349.57,2025-06-05T15:40:00+00:00,3349.57,tp,11,199.2,195.0,False,down,True,0.0,compression,0.206,narrow,False
short,london,2025-06-06T08:15:00+00:00,3358.53,3362.24,3358.53,2.98357,3363.00536,3349.57929,2025-06-06T08:25:00+00:00,3363.00536,sl,2,-44.75,-48.95,False,down,True,0.0,compression,0.057,narrow,False
short,ny,2025-06-06T14:55:00+00:00,3322.54,3334.28,3322.54,6.54571,3332.35857,3302.90286,2025-06-06T15:30:00+00:00,3332.35857,sl,7,-98.19,-102.39,False,up,False,0.0,compression,0.182,narrow,False
long,london,2025-06-09T08:35:00+00:00,3325.5,3325.5,3322.77,2.345,3321.9825,3332.535,2025-06-09T08:50:00+00:00,3321.9825,sl,3,-35.17,-39.37,False,down,False,10.0,compression,0.041,narrow,False
long,ny,2025-06-09T15:00:00+00:00,3322.71,3322.71,3316.12,3.165,3317.9625,3332.205,2025-06-09T16:20:00+00:00,3332.205,tp,16,94.95,90.75,False,down,False,10.0,compression,0.1,narrow,False
long,london,2025-06-10T08:15:00+00:00,3332.66,3332.66,3326.83,3.07429,3328.04857,3341.88286,2025-06-10T08:35:00+00:00,3328.04857,sl,4,-46.11,-50.31,False,up,True,0.0,compression,0.094,narrow,False
short,ny,2025-06-10T14:45:00+00:00,3329.03,3333.59,3329.03,4.32929,3335.52393,3316.04214,2025-06-10T20:45:00+00:00,3323.15,time,72,58.8,54.6,False,down,True,0.0,compression,0.073,narrow,False
long,london,2025-06-11T08:15:00+00:00,3345.76,3345.76,3343.87,2.58429,3341.88357,3353.51286,2025-06-11T09:00:00+00:00,3341.88357,sl,9,-38.76,-42.96,False,up,True,8.3,compression,0.03,narrow,False
long,ny,2025-06-11T15:10:00+00:00,3341.3,3341.3,3332.4,3.305,3336.3425,3351.215,2025-06-11T15:40:00+00:00,3336.3425,sl,6,-49.57,-53.77,False,up,True,8.3,compression,0.142,narrow,False
long,london,2025-06-12T09:50:00+00:00,3351.38,3351.38,3346.5,3.17286,3346.62071,3360.89857,2025-06-12T09:55:00+00:00,3360.89857,tp,1,95.19,90.99,False,up,True,0.0,compression,0.079,narrow,False
short,ny,2025-06-12T15:10:00+00:00,3384.47,3390.63,3384.47,4.36357,3391.01536,3371.37929,2025-06-12T16:30:00+00:00,3391.01536,sl,16,-65.45,-69.65,False,up,False,0.0,compression,0.099,narrow,False
