direction,entry_price,exit_price,sl,tp,atr,reason,bars_held,pnl_pips,net_pips,bars_since_box_end,break_dist_atr
long,4537.09,4527.022857142857,4527.022857142857,4557.224285714286,6.711428571428704,sl,9,-100.67,-104.87,3,0.16
long,4533.62,4519.297142857143,4519.297142857143,4562.265714285714,9.54857142857145,sl,22,-143.23,-147.43,11,2.12
long,4573.36,4564.351428571428,4564.351428571428,4591.377142857143,6.005714285714215,sl,5,-90.09,-94.29,4,0.31
long,4630.1,4654.659285714286,4617.820357142858,4654.659285714286,8.186428571428483,tp,5,245.59,241.39,22,0.41
long,4726.45,4756.994285714285,4711.177857142857,4756.994285714285,10.181428571428503,tp,40,305.44,301.24,0,0.16
long,4756.59,4791.885,4738.9425,4791.885,11.764999999999938,tp,28,352.95,348.75,0,0.28
short,4628.99,4601.743571428571,4642.613214285714,4601.743571428571,9.08214285714283,tp,35,272.46,268.26,6,0.38
long,4694.54,4682.499285714285,4682.499285714285,4718.6214285714295,8.02714285714306,sl,40,-120.41,-124.61,2,0.17
short,4678.68,4645.791428571429,4695.124285714286,4645.791428571429,10.962857142857112,tp,50,328.89,324.69,4,1.35
long,4665.08,4692.862142857143,4651.188928571429,4692.862142857143,9.260714285714325,tp,10,277.82,273.62,1,2.78
short,4642.58,4662.992857142857,4662.992857142857,4601.754285714285,13.60857142857146,sl,14,-204.13,-208.33,1,0.21
long,4819.38,4809.842142857143,4809.842142857143,4838.455714285714,6.35857142857133,sl,1,-95.38,-99.58,0,0.09
short,4751.1,4711.778571428572,4770.760714285714,4711.778571428572,13.107142857142728,tp,47,393.21,389.01,0,0.12
long,4726.51,4748.390714285714,4715.569642857143,4748.390714285714,7.29357142857134,tp,39,218.81,214.61,1,0.18
long,4767.72,4796.67,4753.245,4796.67,9.650000000000025,tp,8,289.5,285.3,2,0.13
short,4747.16,4733.413571428571,4754.033214285714,4733.413571428571,4.582142857142896,tp,6,137.46,133.26,0,1.06
short,4774.66,4748.420714285714,4787.779642857143,4748.420714285714,8.74642857142869,tp,5,262.39,258.19,11,1.65
short,4732.28,4716.397142857142,4740.221428571429,4716.397142857142,5.294285714285901,tp,3,158.83,154.63,8,1.7
short,4708.69,4721.2985714285705,4721.2985714285705,4683.472857142857,8.405714285714241,sl,15,-126.09,-130.29,3,0.34
long,4782.58,4773.8832142857145,4773.8832142857145,4799.973571428572,5.797857142857148,sl,13,-86.97,-91.17,2,0.68
long,4817.97,4835.865,4809.0225,4835.865,5.964999999999951,tp,14,178.95,174.75,20,0.26
short,4804.6,4813.926785714286,4813.926785714286,4785.946428571429,6.217857142857156,sl,32,-93.27,-97.47,11,1.91
short,4815.48,4797.207857142857,4824.616071428571,4797.207857142857,6.090714285714187,tp,3,182.72,178.52,6,1.93
short,4807.29,4814.195357142857,4814.195357142857,4793.479285714286,4.6035714285713505,sl,5,-69.05,-73.25,3,0.15
long,4800.59,4790.228214285715,4790.228214285715,4821.313571428572,6.90785714285721,sl,5,-103.62,-107.82,16,1.18
long,4790.99,4783.506071428571,4783.506071428571,4805.957857142857,4.98928571428587,sl,23,-74.84,-79.04,6,1.18
long,4791.77,4785.905000000001,4785.905000000001,4803.5,3.9099999999999193,sl,8,-58.65,-62.85,7,1.12
short,4810.61,4822.927142857143,4822.927142857143,4785.975714285714,8.211428571428574,sl,72,-123.17,-127.37,3,1.71
long,4787.61,4779.748928571428,4779.748928571428,4803.332142857142,5.240714285714148,sl,29,-78.61,-82.81,5,0.99
short,4743.73,4715.907142857142,4757.641428571428,4715.907142857142,9.27428571428579,tp,25,278.23,274.03,0,2.14
short,4757.75,4747.545714285715,4762.852142857143,4747.545714285715,3.401428571428499,tp,22,102.04,97.84,0,0.44
short,4729.96,4739.393928571429,4739.393928571429,4711.092142857143,6.289285714285662,sl,23,-94.34,-98.54,6,0.01
short,4717.51,4701.736428571429,4725.396785714286,4701.736428571429,5.25785714285699,tp,4,157.74,153.54,5,2.68
long,4734.71,4724.197142857143,4724.197142857143,4755.735714285714,7.008571428571291,sl,11,-105.13,-109.33,1,0.19
long,4694.65,4688.194642857143,4688.194642857143,4707.560714285713,4.303571428571364,sl,1,-64.55,-68.75,1,0.64
long,4732.88,4724.117857142857,4724.117857142857,4750.404285714286,5.841428571428553,sl,1,-87.62,-91.82,12,0.12
short,4710.22,4699.261428571429,4715.699285714286,4699.261428571429,3.6528571428570364,tp,52,109.59,105.39,1,0.21
short,4683.53,4678.83,4693.161071428572,4664.267857142857,6.420714285714309,time,72,47.0,42.8,1,0.55
short,4614.83,4599.007142857143,4622.7414285714285,4599.007142857143,5.274285714285725,tp,22,158.23,154.03,13,0.23
