variant,direction,entry_ts,entry_price,exit_ts,exit_price,sl,tp,atr,reason,bars_held,peak_price,peak_pips,pnl_pips,net_pips
CANON,long,2026-02-18T14:45:00+00:00,4986.05,2026-02-18T19:25:00+00:00,4973.38786,4973.38786,5011.37429,8.44143,sl,56,5005.8,197.5,-126.62,-130.82
CANON,long,2026-02-19T08:15:00+00:00,5012.15,2026-02-19T09:25:00+00:00,5006.4725,5006.4725,5023.505,3.785,sl,14,5019.92,77.7,-56.77,-60.97
CANON,long,2026-02-19T14:50:00+00:00,4995.42,2026-02-19T18:00:00+00:00,4981.97464,4981.97464,5022.31071,8.96357,sl,38,5021.42,260.0,-134.45,-138.65
CANON,long,2026-02-20T08:25:00+00:00,5016.47,2026-02-20T09:00:00+00:00,5033.54857,5007.93071,5033.54857,5.69286,tp,7,5034.63,181.6,170.79,166.59
CANON,long,2026-02-20T14:45:00+00:00,5054.87,2026-02-20T15:00:00+00:00,5043.31893,5043.31893,5077.97214,7.70071,sl,3,5058.7,38.3,-115.51,-119.71
CANON,short,2026-02-23T08:20:00+00:00,5131.03,2026-02-23T08:55:00+00:00,5141.14643,5141.14643,5110.79714,6.74429,sl,7,5125.46,55.7,-101.16,-105.36
CANON,long,2026-02-23T14:45:00+00:00,5190.96,2026-02-23T15:00:00+00:00,5181.14786,5181.14786,5210.58429,6.54143,sl,3,5196.46,55.0,-98.12,-102.32
CANON,short,2026-02-24T08:15:00+00:00,5169.6,2026-02-24T08:30:00+00:00,5179.9275,5179.9275,5148.945,6.885,sl,3,5169.6,0.0,-103.28,-107.48
CANON,long,2026-02-24T15:40:00+00:00,5139.21,2026-02-24T18:00:00+00:00,5166.89357,5125.36821,5166.89357,9.22786,tp,28,5167.29,280.8,276.84,272.64
CANON,long,2026-02-25T08:15:00+00:00,5190.16,2026-02-25T09:00:00+00:00,5183.12714,5183.12714,5204.22571,4.68857,sl,9,5195.34,51.8,-70.33,-74.53
CANON,long,2026-02-25T15:00:00+00:00,5181.18,2026-02-25T16:20:00+00:00,5204.58214,5169.47893,5204.58214,7.80071,tp,16,5205.23,240.5,234.02,229.82
CANON,short,2026-02-26T08:25:00+00:00,5179.44,2026-02-26T09:55:00+00:00,5187.78536,5187.78536,5162.74929,5.56357,sl,18,5174.29,51.5,-83.45,-87.65
CANON,short,2026-02-26T15:25:00+00:00,5139.46,2026-02-26T15:35:00+00:00,5158.33964,5158.33964,5101.70071,12.58643,sl,2,5139.46,0.0,-188.8,-193.0
CANON,short,2026-02-27T08:20:00+00:00,5176.23,2026-02-27T11:55:00+00:00,5183.08821,5183.08821,5162.51357,4.57214,sl,43,5171.55,46.8,-68.58,-72.78
CANON,long,2026-02-27T15:05:00+00:00,5233.57,2026-02-27T15:20:00+00:00,5219.20214,5219.20214,5262.30571,9.57857,sl,3,5237.94,43.7,-143.68,-147.88
CANON,long,2026-03-02T08:25:00+00:00,5412.63,2026-03-02T08:40:00+00:00,5401.44964,5401.44964,5434.99071,7.45357,sl,3,5413.41,7.8,-111.8,-116.0
CANON,short,2026-03-02T16:00:00+00:00,5306.97,2026-03-02T20:05:00+00:00,5336.37536,5336.37536,5248.15929,19.60357,sl,49,5285.08,218.9,-294.05,-298.25
CANON,short,2026-03-03T08:15:00+00:00,5319.9,2026-03-03T08:40:00+00:00,5296.38429,5331.65786,5296.38429,7.83857,tp,5,5299.85,200.5,235.16,230.96
CANON,short,2026-03-03T14:45:00+00:00,5062.02,2026-03-03T16:00:00+00:00,5098.79786,5098.79786,4988.46429,24.51857,sl,15,5025.05,369.7,-367.78,-371.98
CANON,long,2026-03-04T08:40:00+00:00,5172.15,2026-03-04T09:05:00+00:00,5159.23393,5159.23393,5197.98214,8.61071,sl,5,5180.96,88.1,-129.16,-133.36
CANON,short,2026-03-04T14:45:00+00:00,5163.01,2026-03-04T17:20:00+00:00,5122.18429,5183.42286,5122.18429,13.60857,tp,31,5128.26,347.5,408.26,404.06
CANON,short,2026-03-05T08:15:00+00:00,5141.9,2026-03-05T08:30:00+00:00,5151.06393,5151.06393,5123.57214,6.10929,sl,3,5141.9,0.0,-91.64,-95.84
CANON,short,2026-03-05T15:05:00+00:00,5090.91,2026-03-05T21:05:00+00:00,5078.22,5118.45429,5035.82143,18.36286,time,72,5058.99,319.2,126.9,122.7
CANON,short,2026-03-06T08:20:00+00:00,5110.75,2026-03-06T09:15:00+00:00,5094.17714,5119.03643,5094.17714,5.52429,tp,11,5095.74,150.1,165.73,161.53
CANON,long,2026-03-06T14:55:00+00:00,5115.2,2026-03-06T15:20:00+00:00,5163.93071,5090.83464,5163.93071,16.24357,tp,5,5165.98,507.8,487.31,483.11
CANON,short,2026-03-09T08:15:00+00:00,5099.05,2026-03-09T09:05:00+00:00,5110.32036,5110.32036,5076.50929,7.51357,sl,10,5090.11,89.4,-112.7,-116.9
CANON,long,2026-03-09T14:45:00+00:00,5114.62,2026-03-09T14:50:00+00:00,5092.71786,5092.71786,5158.42429,14.60143,sl,1,5114.62,0.0,-219.02,-223.22
CANON,long,2026-03-10T08:30:00+00:00,5185.25,2026-03-10T10:05:00+00:00,5177.00107,5177.00107,5201.74786,5.49929,sl,19,5194.33,90.8,-82.49,-86.69
CANON,long,2026-03-10T15:00:00+00:00,5213.48,2026-03-10T18:15:00+00:00,5199.34143,5199.34143,5241.75714,9.42571,sl,39,5235.82,223.4,-141.39,-145.59
CANON,short,2026-03-11T08:20:00+00:00,5188.07,2026-03-11T09:35:00+00:00,5196.51071,5196.51071,5171.18857,5.62714,sl,15,5181.59,64.8,-84.41,-88.61
CANON,short,2026-03-11T15:10:00+00:00,5174.52,2026-03-11T22:10:00+00:00,5175.07,5187.73929,5148.08143,8.81286,time,72,5158.91,156.1,-5.5,-9.7
CANON,long,2026-03-12T09:55:00+00:00,5189.74,2026-03-12T10:15:00+00:00,5183.395,5183.395,5202.43,4.23,sl,4,5189.74,0.0,-63.45,-67.65
CANON,short,2026-03-12T16:00:00+00:00,5139.75,2026-03-12T17:15:00+00:00,5113.69286,5152.77857,5113.69286,8.68571,tp,15,5118.11,216.4,260.57,256.37
CANON,short,2026-03-13T08:20:00+00:00,5066.72,2026-03-13T08:35:00+00:00,5078.97929,5078.97929,5042.20143,8.17286,sl,3,5066.72,0.0,-122.59,-126.79
CANON,short,2026-03-13T14:45:00+00:00,5074.76,2026-03-13T14:55:00+00:00,5050.16214,5087.05893,5050.16214,8.19929,tp,2,5041.72,330.4,245.98,241.78
CANON,short,2026-03-16T08:15:00+00:00,4988.55,2026-03-16T08:20:00+00:00,4999.39393,4999.39393,4966.86214,7.22929,sl,1,4988.55,0.0,-108.44,-112.64
CANON,short,2026-03-16T14:45:00+00:00,5000.39,2026-03-16T16:35:00+00:00,4974.78286,5013.19357,4974.78286,8.53571,tp,22,4976.32,240.7,256.07,251.87
CANON,long,2026-03-17T08:15:00+00:00,5026.24,2026-03-17T08:45:00+00:00,5018.41643,5018.41643,5041.88714,5.21571,sl,6,5026.24,0.0,-78.24,-82.44
CANON,short,2026-03-17T15:25:00+00:00,5003.05,2026-03-17T15:40:00+00:00,4980.25643,5014.44679,4980.25643,7.59786,tp,3,4982.2,208.5,227.94,223.74
CANON,short,2026-03-18T08:20:00+00:00,4987.5,2026-03-18T09:30:00+00:00,4994.59821,4994.59821,4973.30357,4.73214,sl,14,4985.36,21.4,-70.98,-75.18
CANON,long,2026-03-18T16:55:00+00:00,4865.12,2026-03-18T17:00:00+00:00,4883.49286,4855.93357,4883.49286,6.12429,tp,1,4889.14,240.2,183.73,179.53
CANON,short,2026-03-19T08:30:00+00:00,4701.32,2026-03-19T12:00:00+00:00,4648.02929,4727.96536,4648.02929,17.76357,tp,42,4631.04,702.8,532.91,528.71
CANON,short,2026-03-19T15:30:00+00:00,4581.06,2026-03-19T16:00:00+00:00,4612.03607,4612.03607,4519.10786,20.65071,sl,6,4572.11,89.5,-309.76,-313.96
CANON,long,2026-03-20T08:15:00+00:00,4717.55,2026-03-20T08:30:00+00:00,4707.635,4707.635,4737.38,6.61,sl,3,4730.71,131.6,-99.15,-103.35
CANON,short,2026-03-20T14:50:00+00:00,4557.53,2026-03-20T16:10:00+00:00,4586.90643,4586.90643,4498.77714,19.58429,sl,16,4549.24,82.9,-293.76,-297.96
CANON,long,2026-03-23T09:15:00+00:00,4255.73,2026-03-23T11:05:00+00:00,4330.76,4218.215,4330.76,25.01,tp,22,4406.74,1510.1,750.3,746.1
CANON,short,2026-03-23T15:45:00+00:00,4469.95,2026-03-23T15:50:00+00:00,4405.96429,4501.94286,4405.96429,21.32857,tp,1,4396.58,733.7,639.86,635.66
CANON,long,2026-03-24T09:40:00+00:00,4420.75,2026-03-24T11:00:00+00:00,4405.67393,4405.67393,4450.90214,10.05071,sl,16,4438.57,178.2,-150.76,-154.96
CANON,long,2026-03-24T15:45:00+00:00,4420.71,2026-03-24T17:05:00+00:00,4399.2225,4399.2225,4463.685,14.325,sl,16,4424.54,38.3,-214.88,-219.08
CANON,long,2026-03-25T08:20:00+00:00,4559.04,2026-03-25T09:45:00+00:00,4546.70786,4546.70786,4583.70429,8.22143,sl,17,4566.3,72.6,-123.32,-127.52
CANON,long,2026-03-25T14:45:00+00:00,4569.07,2026-03-25T15:05:00+00:00,4552.74357,4552.74357,4601.72286,10.88429,sl,4,4569.07,0.0,-163.26,-167.46
CANON,short,2026-03-26T08:15:00+00:00,4440.42,2026-03-26T11:20:00+00:00,4455.09,4455.09,4411.08,9.78,sl,37,4419.42,210.0,-146.7,-150.9
CANON,short,2026-03-26T15:35:00+00:00,4458.37,2026-03-26T16:20:00+00:00,4418.34357,4478.38321,4418.34357,13.34214,tp,9,4400.95,574.2,400.26,396.06
CANON,short,2026-03-27T08:15:00+00:00,4443.04,2026-03-27T08:55:00+00:00,4425.63786,4451.74107,4425.63786,5.80071,tp,8,4424.15,188.9,174.02,169.82
CANON,long,2026-03-27T14:45:00+00:00,4464.05,2026-03-27T14:55:00+00:00,4502.83143,4444.65929,4502.83143,12.92714,tp,2,4509.76,457.1,387.81,383.61
CANON,long,2026-03-30T08:30:00+00:00,4537.09,2026-03-30T09:15:00+00:00,4527.02286,4527.02286,4557.22429,6.71143,sl,9,4539.58,24.9,-100.67,-104.87
CANON,long,2026-03-30T15:40:00+00:00,4533.62,2026-03-30T17:30:00+00:00,4519.29714,4519.29714,4562.26571,9.54857,sl,22,4554.36,207.4,-143.23,-147.43
