direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
long,london,2025-05-19T08:15:00+00:00,3237.71,3235.84,3230.08,3.20286,3232.90571,3247.31857,2025-05-19T09:00:00+00:00,3247.31857,tp,9,96.09,91.89,False,up,True,50.0,normal,0.0,narrow,False
long,london,2025-05-20T08:30:00+00:00,3225.27,3224.37,3219.28,3.15857,3220.53214,3234.74571,2025-05-20T08:55:00+00:00,3234.74571,tp,5,94.76,90.56,False,down,False,50.0,normal,0.0,narrow,False
long,london,2025-05-21T09:30:00+00:00,3311.08,3310.84,3303.97,2.36286,3307.53571,3318.16857,2025-05-21T09:45:00+00:00,3307.53571,sl,3,-35.44,-39.64,False,down,False,50.0,normal,0.0,narrow,False
long,ny,2025-05-21T15:05:00+00:00,3308.74,3306.29,3301.84,4.33786,3302.23321,3321.75357,2025-05-21T19:05:00+00:00,3321.75357,tp,48,130.14,125.94,False,down,False,50.0,normal,0.0,narrow,False
short,london,2025-05-22T08:15:00+00:00,3323.81,3329.91,3325.54,3.09786,3328.45679,3314.51643,2025-05-22T08:30:00+00:00,3314.51643,tp,3,92.94,88.74,False,down,True,50.0,normal,0.0,narrow,False
short,ny,2025-05-22T15:00:00+00:00,3292.82,3302.98,3295.45,6.04143,3301.88214,3274.69571,2025-05-22T16:35:00+00:00,3301.88214,sl,19,-90.62,-94.82,False,up,False,50.0,normal,0.0,narrow,False
long,london,2025-05-23T09:20:00+00:00,3331.1,3329.37,3325.56,2.69357,3327.05964,3339.18071,2025-05-23T10:00:00+00:00,3327.05964,sl,8,-40.4,-44.6,False,up,True,50.0,normal,0.0,narrow,False
long,ny,2025-05-23T14:50:00+00:00,3356.56,3354.64,3348.38,5.31357,3348.58964,3372.50071,2025-05-23T20:50:00+00:00,3359.87,time,72,33.1,28.9,False,up,True,50.0,normal,0.0,narrow,False
short,london,2025-05-26T09:20:00+00:00,3332.31,3339.67,3332.82,2.76714,3336.46071,3324.00857,2025-05-26T09:25:00+00:00,3324.00857,tp,1,83.01,78.81,False,down,True,50.0,normal,0.083,narrow,False
long,ny,2025-05-26T16:20:00+00:00,3339.73,3339.64,3335.73,1.42286,3337.59571,3343.99857,2025-05-26T22:00:00+00:00,3343.99857,tp,22,42.69,38.49,False,up,True,50.0,normal,0.047,narrow,False
short,london,2025-05-27T09:35:00+00:00,3295.89,3310.4,3296.18,4.55143,3302.71714,3282.23571,2025-05-27T13:30:00+00:00,3302.71714,sl,47,-68.27,-72.47,False,up,False,50.0,normal,0.184,narrow,False
long,ny,2025-05-27T15:00:00+00:00,3300.55,3300.49,3295.58,3.76929,3294.89607,3311.85786,2025-05-27T15:20:00+00:00,3294.89607,sl,4,-56.54,-60.74,False,up,True,50.0,normal,0.064,narrow,False
long,london,2025-05-28T09:45:00+00:00,3323.91,3323.89,3317.43,2.37143,3320.35286,3331.02429,2025-05-28T10:10:00+00:00,3320.35286,sl,5,-35.57,-39.77,False,up,True,50.0,normal,0.082,narrow,False
short,ny,2025-05-28T14:50:00+00:00,3301.34,3308.41,3301.59,3.71,3306.905,3290.21,2025-05-28T16:45:00+00:00,3290.21,tp,23,111.3,107.1,False,down,True,50.0,normal,0.087,narrow,False
long,london,2025-05-29T10:15:00+00:00,3294.7,3289.39,3283.71,2.83,3290.455,3303.19,2025-05-29T11:30:00+00:00,3303.19,tp,15,84.9,80.7,False,down,False,50.0,normal,0.076,narrow,False
long,ny,2025-05-29T15:00:00+00:00,3314.63,3312.47,3304.8,4.64714,3307.65929,3328.57143,2025-05-29T16:10:00+00:00,3328.57143,tp,14,139.41,135.21,False,down,False,50.0,normal,0.102,narrow,False
long,london,2025-05-30T10:05:00+00:00,3299.6,3299.28,3291.62,2.18929,3296.31607,3306.16786,2025-05-30T10:25:00+00:00,3296.31607,sl,4,-32.84,-37.04,False,up,True,50.0,normal,0.101,narrow,False
long,ny,2025-05-30T15:40:00+00:00,3290.78,3285.17,3273.41,4.38643,3284.20036,3303.93929,2025-05-30T16:35:00+00:00,3284.20036,sl,11,-65.8,-70.0,False,down,False,50.0,normal,0.155,narrow,False
long,london,2025-06-02T11:35:00+00:00,3358.79,3356.39,3350.62,3.13071,3354.09393,3368.18214,2025-06-02T11:50:00+00:00,3354.09393,sl,3,-46.96,-51.16,False,up,True,0.0,compression,0.081,narrow,False
long,ny,2025-06-02T16:00:00+00:00,3378.11,3377.92,3372.15,2.88357,3373.78464,3386.76071,2025-06-02T16:10:00+00:00,3373.78464,sl,2,-43.25,-47.45,False,up,True,0.0,compression,0.081,narrow,False
short,london,2025-06-03T09:05:00+00:00,3359.36,3364.9,3359.67,2.19786,3362.65679,3352.76643,2025-06-03T12:05:00+00:00,3352.76643,tp,36,65.94,61.74,False,up,False,33.3,normal,0.07,narrow,False
short,ny,2025-06-03T15:00:00+00:00,3344.75,3350.17,3345.21,4.26214,3351.14321,3331.96357,2025-06-03T15:30:00+00:00,3351.14321,sl,6,-63.93,-68.13,False,up,False,33.3,normal,0.066,narrow,False
long,london,2025-06-04T08:45:00+00:00,3361.39,3357.29,3351.7,2.54071,3357.57893,3369.01214,2025-06-04T10:30:00+00:00,3357.57893,sl,21,-38.11,-42.31,False,up,True,14.3,compression,0.077,narrow,False
long,london,2025-06-05T08:35:00+00:00,3373.47,3373.38,3369.73,1.92429,3370.58357,3379.24286,2025-06-05T09:15:00+00:00,3379.24286,tp,8,57.73,53.53,False,down,False,0.0,compression,0.055,narrow,False
